,word,count
639,반복,2
640,시즌,2
642,빌드업,3
643,때문,2
644,스토리,3
646,비주,2
648,감탄,2
649,이건,2
650,최고,2
651,이건,2
652,무조건,3
653,극장,2
655,최고,2
656,감동,2
657,비쥬,2
660,스토리,3
661,긴장감,3
662,런가,2
663,조조,2
664,런가,2
665,시각,2
666,효과,2
668,내용,2
669,인간,2
670,잔인함,3
671,지혜,2
672,동시,2
673,한편,2
674,생각,2
675,생각,2
676,최고,2
678,내내,2
679,영상,2
680,단연,2
683,극장,2
687,명작,2
688,최고,2
689,제작비,3
690,어디,2
691,직관,2
692,작품,2
693,작품,2
694,마블,2
695,최근,2
696,수준,2
697,최고,2
698,바닥,2
701,대박,2
702,스토리,3
703,대박,2
704,시간,2
705,대박,2
707,만점,2
708,스토리,3
709,실망,2
711,영상,2
712,만점,2
713,주기,2
714,지루함,3
715,존재,2
717,개봉일,3
719,스토리,3
720,루즈,2
722,최고,2
723,다큐,2
724,느낌,2
725,바다,2
726,바다,2
727,생물,2
730,나위,2
731,시간,2
732,시간,2
733,빈틈,2
734,이야기,3
737,가족,2
739,존재,2
740,이유,2
746,무엇,2
747,속편,2
748,생물,2
749,기대,2
750,스케일,3
752,시간,2
753,순삭,2
755,보람,2
757,보람,2
758,영상,2
759,시간,2
760,걱정,2
761,전혀,2
762,영상,2
763,최고,2
764,시간,2
765,몰입,2
767,최고,2
768,바로,2
769,편이,2
771,상향,2
772,평준화,3
775,가치,2
776,스토리,3
777,전개,2
778,별로,2
779,시간,2
782,스토리,3
783,개연,2
786,가치,2
787,연출,2
788,반복,2
791,기다림,3
792,최고,2
796,영상,2
797,화면,2
800,사람,2
802,여성,2
804,비만,2
805,생각,2
806,그래픽,3
808,박수,2
810,번의,2
811,영상,2
812,혁명,2
813,기술,2
814,진보,2
815,서사,2
816,답습,2
817,퇴보,2
818,아이맥스,4
821,스토리,3
822,영상,2
823,제작비,3
826,안보,2
827,손해,2
828,흥행,2
829,위엔,2
830,이유,2
834,최고,2
836,보람,2
837,이건,2
838,스포,2
839,감동,2
840,장면,2
841,눈물,2
842,최고,2
843,거의,2
847,몰입,2
849,장난,2
850,다음,2
851,후속,2
852,편도,2
853,기대,2
854,계속,2
855,진화,2
857,증명,2
858,어비스,3
859,트루라이즈,5
860,터미네이터,5
861,타이타닉,4
863,예술,2
865,최고,2
866,자체,2
867,영상,2
868,순간,2
869,시간,2
876,마음,2
877,최고,2
879,극장,2
881,감동,2
882,영상,2
883,이건,2
884,무조건,3
889,존재,2
890,이유,2
893,체험,2
894,스크린,3
896,아쿠아리움,5
897,바다,2
898,덕후,2
899,해양,2
900,생물,2
901,덕후,2
902,밀리터리,4
903,덕후,2
904,최고,2
905,행복,2
906,절때,2
908,사람,2
909,어머니,3
911,누가,2
913,가야,2
914,이유,2
915,고개,2
918,하라,2
920,존버,2
921,명작,2
923,사람,2
924,대체,2
926,감독,2
927,사랑,2
928,개인,2
931,취향,2
932,능력,2
935,감사,2
936,카메론,3
937,카메론,3
938,감독,2
939,시대,2
941,어찌,2
942,행운,2
943,항상,2
945,오래오래,4
946,내내,2
949,환상,2
950,영상,2
952,관람,2
954,영상,2
956,생각,2
957,편의,2
958,등장,2
959,벌써,2
960,시간,2
962,처음,2
963,최고,2
964,시간,2
966,바로,2
969,관람,2
973,넷플릭스,4
976,인류,2
977,상상력,3
978,어디,2
979,발전,2
983,이건,2
986,안보,2
987,대대손손,4
988,후회,2
990,호강,2
991,내용,2
992,글세,2
993,감독,2
994,나비,2
996,사기,2
998,이후,2
999,세월,2
1000,영상,2
1001,기술,2
1002,발달,2
1003,센세이션,4
1004,판도라,3
1005,환상,2
1006,바다,2
1007,생태계,3
1009,명불허전,4
1012,이상,2
1013,보지,2
1015,태초,2
1016,오염,2
1017,바다,2
1019,이번,2
1020,시즌,2
1021,대책,2
1022,만큼,2
1023,의문,2
1024,스토리,3
1026,스토리,3
1027,재미,2
1028,카메론,3
1029,카메론,3
1030,우리,2
1031,기술,2
1032,눈높이,3
1033,이제,2
1034,다른,2
1035,작품,2
1036,퀄리티,3
1037,걱정,2
1039,몇번,2
1040,감탄,2
1041,최고,2
1045,카메론,3
1046,카메론,3
1047,감독,2
1048,전성기,3
1050,계속,2
1051,누가,2
1053,시간,2
1055,감탄,2
1056,감동,2
1057,도가니,3
1058,시간,2
1059,개인,2
1062,추천,2
1064,조만간,3
1067,예정,2
1068,크리스마스,5
1071,간다,2
1072,올해,2
1075,스토리,3
1076,시간,2
1077,최고,2
1078,감정이입,4
1079,몰입,2
1081,최고,2
1082,시간,2
1083,호강,2
1085,인간,2
1086,전멸,2
1087,편도,2
1088,기대,2
1089,그래픽,3
1092,퀄리티,3
1093,순식간,3
1094,전편,2
1095,달리,2
1096,주저,2
1097,주인공,3
1098,때문,2
1099,조금,2
1100,루즈,2
1103,편이,2
1104,매우,2
1105,기대,2
1106,스토리,3
1109,는걸,2
1111,직접,2
1112,체험,2
1113,올해,2
1116,마무리,3
1117,영상,2
1118,최고,2
1119,다만,2
1120,스토리,3
1122,감상,2
1123,간다,2
1124,생각,2
1125,최고,2
1126,명불허전,4
1128,추천,2
1129,기대,2
1130,화이팅,3
1132,이건,2
1134,혜자,2
1135,시간,2
1136,내내,2
1137,볼거리,3
1138,성함,2
1140,단어,2
1141,표현,2
1142,오해,2
1144,워낙,2
1145,혁명,2
1146,자체,2
1148,반드시,3
1149,극장,2
1151,제이크,3
1152,설리,2
1153,가족,2
1154,물의,2
1155,부족,2
1156,적응,2
1158,생각,2
1159,가면,2
1160,영상,2
1161,생각,2
1164,최고,2
1165,스토리,3
1166,감동,2
1167,최고,2
1170,전작,2
1172,감동,2
1173,중간,2
1174,눈물,2
1175,스토리,3
1176,영상,2
1177,모두,2
1178,찟었다,3
1181,다시,2
1182,인간,2
1185,처음,2
1187,우리,2
1189,길이,2
1197,사람,2
1199,번거럽더,4
1201,극장,2
1202,추천,2
1203,돌비,2
1204,극장,2
1205,몰입,2
1207,감동,2
1211,메이킹,3
1212,영상,2
1213,연출,2
1215,존재,2
1216,이유,2
1217,카메론,3
1218,카메론,3
1221,이정화,3
1223,생애,2
1224,최고,2
1225,환상,2
1227,흠뻑,2
1228,편도,2
1229,추천,2
1231,대비,2
1232,그래픽,3
1233,체감,2
1235,스토리,3
1237,디테일,3
1238,연출,2
1239,이상,2
1240,아빠,2
1241,가족,2
1242,존재,2
1246,별로,2
1247,임팩트,3
1248,실망,2
1249,시간,2
1250,외계,2
1251,환경보호,4
1252,다큐멘터리,5
1253,기분,2
1256,스토리,3
1257,별로,2
1258,시간,2
1259,전혀,2
1260,스토리,3
1262,편이,2
1263,벌써,2
1264,기대,2
1265,제이크,3
1266,설리,2
1267,극한,2
1268,육아,2
1269,일기,2
1270,최고,2
1272,최고,2
1273,스크린,3
1275,영상,2
1277,어디,2
1278,다시,2
1279,도전,2
1280,스토리,3
1281,편이,2
1284,웅장,2
1288,시간,2
1289,훅감,2
1291,연출,2
1292,스토리,3
1293,카메론,3
1294,감독,2
1295,편이,2
1296,기대,2
1298,아이맥스,4
1300,시청,2
1301,체험,2
1302,시간,2
1303,가족,2
1305,기반,2
1306,변화,2
1307,환경,2
1308,적응,2
1311,시간,2
1313,시종일관,4
1315,그것,2
1317,가치,2
1319,틀림,2
1320,다큐멘터리,5
1321,느낌,2
1328,보람,2
1329,최고,2
1330,어찌,2
1332,최고,2
1333,감탄,2
1334,최고,2
1335,카메론,3
1336,카메론,3
1337,감독,2
1340,설명,2
1341,스토리,3
1342,마음,2
1343,보기,2
1346,먹기,2
1347,경이,2
1350,경이,2
1351,현실,2
1352,몰입,2
1353,영상,2
1354,최고,2
1355,실사,2
1356,내용,2
1357,중간,2
1358,내용,2
1359,년생,2
1360,아들,2
1361,수중,2
1362,효과,2
1363,연출,2
1364,인상,2
1365,해양,2
1366,수중,2
1367,족적,2
1368,음악,2
1369,연기,2
1370,다만,2
1371,스토리,3
1372,체험,2
1373,초점,2
1374,관람,2
1375,가능성,3
1376,명작,2
1378,오감,2
1379,체형,2
1380,작품,2
1381,컨데,2
1382,비쥬,2
1384,압도,2
1389,행해,2
1390,부작,2
1392,카메론,3
1393,카메론,3
1394,시간,2
1397,영상,2
1398,최고,2
1399,기억,2
1400,이해,2
1401,영상,2
1402,다한,2
1403,대박,2
1404,대박,2
1405,대박,2
1406,다시,2
1409,티켓,2
1412,초반,2
1413,서사,2
1414,장벽,2
1415,바다로,3
1416,순간,2
1417,허물,2
1418,파란빛,3
1419,물결,2
1420,시대,2
1422,생존,2
1423,방식,2
1424,표값,2
1425,체험,2
1430,진가,2
1433,스토리,3
1434,부분,2
1435,스토리,3
1436,빈약,2
1439,시간,2
1440,러닝,2
1441,졸림,2
1442,군입대,3
1444,마지막,3
1445,용산,2
1446,아이맥스,4
1447,최고,2
1448,어딘가,3
1449,판도라,3
1450,행성,2
1451,일리,2
1452,시간,2
1453,영상,2
1454,대박,2
1456,시간,2
1457,아이맥스,4
1459,볼껄,2
1460,프리미엄,4
1461,상영,2
1462,관서,2
1465,때문,2
1468,생각,2
1469,무슨,2
1473,논평가,3
1474,보지,2
1475,헛소리,3
1476,하니,2
1477,시간,2
1478,금방,2
1479,간다,2
1481,가족,2
1483,최고,2
1484,스캐일,3
1486,최고,2
1487,최고,2
1488,시간,2
1490,루즈,2
1492,간다,2
1493,꿀잼,2
1494,시간,2
1495,순삭,2
1496,존버함,3
1497,연말,2
1498,장식,2
1499,최고,2
1502,호흡,2
1503,영상,2
1504,순간,2
1505,판도라,3
1506,걱정,2
1507,주민,2
1508,둘째,2
1510,세상,2
1511,다큐,2
1512,느낌,2
1515,최고,2
1516,스토리,3
1517,글쎄,2
1519,한계,2
1520,돌파,2
1521,어벤져스,4
1522,엔드게임,4
1523,이후,2
1524,극장,2
1527,카메론,3
1528,카메론,3
1529,감독,2
1531,마무리,3
1532,최고,2
1535,최고,2
1538,편도,2
1541,영상,2
1542,시간,2
1543,내내,2
1544,장면,2
1547,이번,2
1549,판도라,3
1550,경관,2
1551,이제,2
1552,실제,2
1553,사람,2
1554,감흥,2
1555,창의,2
1556,볼거리,3
1557,가족,2
1559,스토리,3
1562,장가,2
1563,따위,2
1564,당신,2
1565,거임,2
1566,서사,2
1567,스케일,3
1569,마스터링,4
1571,첫날,2
1572,바로,2
1574,해양,2
1575,생물,2
1576,존나,2
1578,내용,2
1579,술술,2
1580,화면,2
1581,체감,2
1582,런닝타임,4
1583,화장실,3
1584,생각,2
1587,참전,2
1589,만큼,2
1590,시간,2
1591,관람,2
1592,아주,2
1593,만족,2
1594,참고,2
1595,마스크,3
1596,안경,2
1597,향기,2
1599,인공,2
1600,눈물,2
1601,필수,2
1604,스토리,3
1605,구려,2
1606,개연,2
1607,후기,2
1608,아이맥스,4
1610,취소,2
1611,살짝,2
1612,고민,2
1613,최고,2
1614,후회,2
1615,감정이입,4
1617,제이크,3
1618,설리,2
1620,시간,2
1622,경이,2
1624,언제,2
1625,인생,2
1626,최고,2
1627,극장,2
1631,전작,2
1632,압도,2
1633,경이,2
1634,로움,2
1635,선사,2
1636,애초,2
1637,일일,2
1638,지도,2
1640,최곤데,3
1641,스토리,3
1642,사람,2
1644,스토리,3
1646,서사,2
1647,캐릭터,3
1648,판도라,3
1649,풍경,2
1650,동물,2
1651,카메론,3
1652,외계,2
1653,생태계,3
1654,다큐,2
1655,최소,2
1656,아이맥스,4
1658,존버한다,4
1659,최고,2
1660,초등학교,4
1663,아이,2
1664,살이,2
1668,뭐해,2
1670,액션,2
1671,체험,2
1673,경이,2
1675,최고,2
1676,판도라,3
1677,행성,2
1678,존재,2
1679,스쿠버다이빙,6
1680,시간,2
1682,기분,2
1685,자연,2
1686,생명,2
1687,다시,2
1688,간반,2
1689,시간,2
1690,순삭,2
1693,화장실,3
1694,가야,2
1695,스토리,3
1696,그것,2
1701,상상력,3
1703,무엇,2
1706,감히,2
1709,언급,2
1711,영상,2
1712,아쿠아리움,5
1713,배경,2
1714,시간,2
1715,차원,2
1716,우주,2
1717,스토리,3
1718,아이맥스,4
1720,존재,2
1721,가치,2
1724,최고,2
1725,감독,2
1726,천재,2
1730,스케일,3
1733,재미,2
1734,보장,2
1736,아이맥스,4
1737,관람,2
1738,적극,2
1739,권장,2
1740,영상,2
1741,아주,2
1742,살때,2
1743,살이,2
1745,처음,2
1746,감동,2
1747,재미,2
1750,다음,2
1751,편도,2
1752,기대,2
1753,기술,2
1756,발전,2
1757,느낌,2
1759,흥행,2
1761,장면,2
1763,압도,2
1764,눈물,2
1765,글썽,2
1767,스토리,3
1768,압도,2
1769,비주,2
1771,지루함,3
1772,물속,2
1773,기분,2
1774,감동,2
1775,잡채,2
1776,인생,2
1777,제일,2
1778,일이,2
1782,경이,2
1783,감동,2
1784,지경,2
1785,제발,2
1788,시리즈,3
1792,한국,2
1793,최고,2
1794,시청각,3
1795,쾌감,2
1796,선사,2
1797,스토리,3
1799,상상력,3
1800,연출,2
1801,시간,2
1802,우주,2
1803,너머,2
1804,미지,2
1805,행성,2
1806,여행,2
1809,인지,2
1810,시간,2
1811,시간,2
1814,울면,2
1815,최고,2
1816,인생,2
1819,기술,2
1820,정점,2
1821,비쥬,2
1823,끝판,2
1824,보람,2
1825,일루,2
1827,타고,2
1828,물속,2
1831,시간,2
1833,순삭,2
1834,경험,2
1836,기다림,3
1837,후회,2
1838,영상,2
1839,이상,2
1841,최고,2
1842,바타,2
1843,무조건,3
1845,감동,2
1846,쓰나미,3
1848,최고,2
1850,상상력,3
1851,세상,2
1852,시계,2
1853,그게,2
1856,시간,2
1857,시간,2
1858,금방,2
1860,최고,2
1861,최고,2
1862,시간,2
1866,예정,2
1867,얼른,2
1868,예매,2
1871,설명,2
1873,시간,2
1875,몰입,2
1877,최고,2
1878,최고,2
1879,보람,2
1880,무조건,3
1881,극장,2
1883,보지,2
1884,관심,2
1885,생각,2
1887,판타지,3
1888,세계,2
1889,집중,2
1890,시간,2
1891,모름,2
1894,스크린,3
1895,최고,2
1896,감동,2
1898,보람,2
1899,최고,2
1900,대박,2
1902,감동,2
1903,최고,2
1905,시간,2
1906,시간,2
1907,도지,2
1908,루한,2
1910,최고,2
1911,처음,2
1912,충격,2
1913,수준,2
1915,생명체,3
1916,로부터,3
1917,감동,2
1918,최고,2
1919,대작,2
1921,시간,2
1922,총알,2
1924,추천,2
1927,시간,2
1928,금방,2
1929,간다,2
1930,카메론,3
1931,감독,2
1937,생각,2
1938,거참,2
1939,시간,2
1940,언제,2
1941,모름,2
1942,시각,2
1943,시간,2
1945,스토리,3
1946,전개,2
1947,납득,2
1948,이동,2
1950,전환,2
1951,비약,2
1952,전투,2
1953,장면,2
1955,아쉬움,3
1956,대작,2
1959,몽환,2
1960,느낌,2
1961,감동,2
1962,액션,2
1963,사이다,3
1965,생각,2
1966,어머니,3
1968,압도,2
1970,스토리,3
1971,별로,2
1972,익룡,2
1973,날치,2
1974,고래,2
1980,최고,2
1982,음악,2
1983,배우,2
1984,연기,2
1985,대작,2
1986,세월,2
1987,전편,2
1988,감성,2
1989,그대로,3
1990,감독,2
1991,감상,2
1993,거의,2
1995,시간,2
2002,예술,2
2003,거구,2
2004,느낌,2
2005,인간,2
2006,멸종,2
2007,최고,2
2008,메쳣어,3
2010,시간,2
2011,순간,2
2013,인간,2
2014,상상력,3
2015,한계,2
2016,어디,2
2018,작품,2
2019,머리,2
2022,바탕,2
2023,시간,2
2024,시간,2
2025,금방,2
2028,이유,2
2030,최고,2
2032,보람,2
2033,시간,2
2034,보람,2
2035,실망,2
2039,각본,2
2040,수준,2
2041,반도,2
2045,그래픽,3
2047,외계,2
2048,행성,2
2049,네셔널,3
2050,오그,2
2052,신파,2
2053,초반,2
2054,각본,2
2055,최고,2
2056,주인공,3
2058,판단,2
2059,이해,2
2060,작위,2
2061,내내,2
2063,호불호,3
2064,걱정,2
2065,초반,2
2067,갈수록,3
2074,가족,2
2075,생각,2
2076,마음,2
2077,가지,2
2079,주네,2
2081,아주,2
2082,파란색,3
2083,외계인,3
2084,지구인,3
2085,사냥,2
2086,격하,2
2087,응원,2
2088,지구인,3
2089,우주,2
2091,존재,2
2093,개연,2
2094,매우,2
2097,최고,2
2098,최고,2
2099,기대,2
2100,이상,2
2101,겨울,2
2102,극장,2
2103,따땃,2
2104,대박,2
2106,부분,2
2107,쪼금,2
2108,지루함,3
2110,내용,2
2111,과대,2
2112,평가,2
2113,작품,2
2114,내용,2
2117,후반,2
2118,부로,2
2119,수록,2
2120,루즈,2
2121,해지,2
2122,약간,2
2123,억지,2
2124,감동,2
2125,영상,2
2126,개연,2
2127,스토리,3
2130,스토리,3
2131,구멍,2
2134,더하기,3
2135,고래,2
2136,민간,2
2137,어선,2
2138,스케일,3
2139,어려움,3
2141,신기,2
2142,재미,2
2143,이름,2
2149,세계관,3
2151,워진,2
2152,이야기,3
2154,세계관,3
2155,마무리,3
2156,후속,2
2157,편이,2
2158,기대,2
2160,거지,2
2162,만듬,2
2163,실제,2
2164,자연,2
2167,시계,2
2168,자꾸,2
2169,판도라,3
2170,행성,2
2171,수중,2
2172,촬영,2
2174,거짓말,3
2175,이해,2
2178,바다,2
2179,사랑,2
2180,사람,2
2181,라면,2
2182,무조건,3
2185,이만,2
2186,비쥬,2
2189,다만,2
2190,스토리,3
